11 Mot inconnu : Showcase [[48:56]] =>   * Partage de fichiers via des présentations : Showcase <|> showcase
12 Mot inconnu : Paper [[45:50]] =>   * Partage d'idées via des pages Internet : Paper <|> paper
15 Il manque un espace. [[153:156]] => Ce service permet de stocker et synchroniser des fichiers en ligne entre plusieurs ordinateurs. DropBox est multiplate-forme et marche sous Windows, Mac,GNU/Linux, iOS,Android et Chromobook. Cela permet de déposer dans un dossier "dropbox" des fichiers qui seront automatiquement synchronisés sur internet et avec tous les machines qui ont le client DropBox d'installé. <|> gnu => suggestions :  GNU
15 Mot inconnu : Chromobook [[179:189]] => Ce service permet de stocker et synchroniser des fichiers en ligne entre plusieurs ordinateurs. DropBox est multiplate-forme et marche sous Windows, Mac,GNU/Linux, iOS,Android et Chromobook. Cela permet de déposer dans un dossier "dropbox" des fichiers qui seront automatiquement synchronisés sur internet et avec tous les machines qui ont le client DropBox d'installé. <|> chromobook
15 Guillemets typographiques ouvrants. [[230:231]] => Ce service permet de stocker et synchroniser des fichiers en ligne entre plusieurs ordinateurs. DropBox est multiplate-forme et marche sous Windows, Mac,GNU/Linux, iOS,Android et Chromobook. Cela permet de déposer dans un dossier "dropbox" des fichiers qui seront automatiquement synchronisés sur internet et avec tous les machines qui ont le client DropBox d'installé. <|> " => suggestions : « “
15 Guillemets typographiques fermants. [[238:239]] => Ce service permet de stocker et synchroniser des fichiers en ligne entre plusieurs ordinateurs. DropBox est multiplate-forme et marche sous Windows, Mac,GNU/Linux, iOS,Android et Chromobook. Cela permet de déposer dans un dossier "dropbox" des fichiers qui seront automatiquement synchronisés sur internet et avec tous les machines qui ont le client DropBox d'installé. <|> " => suggestions :  »”
15 Le verbe devrait être à l’infinitif. [[360:368]] => Ce service permet de stocker et synchroniser des fichiers en ligne entre plusieurs ordinateurs. DropBox est multiplate-forme et marche sous Windows, Mac,GNU/Linux, iOS,Android et Chromobook. Cela permet de déposer dans un dossier "dropbox" des fichiers qui seront automatiquement synchronisés sur internet et avec tous les machines qui ont le client DropBox d'installé. <|> installé => suggestions : installer
17 Si “To” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[174:178]] => Le compte DropBox de base est de 2 Go gratuitement. Il existe aussi des abonnements payants, commençant à une dizaine d'euros par mois, qui offre une capacité de stockage de 1 To. Il existe aussi un système de parrainage pour augmenter cette limite. <|> 1 to => suggestions : 1 To
22 Mot inconnu : HFS [[74:77]] => De plus, il n'est compatible qu'avec les systèmes de fichiers ext4, NTFS, HFS+ et APFS</note> <|> hfs
22 Mot inconnu : APFS [[82:86]] => De plus, il n'est compatible qu'avec les systèmes de fichiers ext4, NTFS, HFS+ et APFS</note> <|> apfs

26 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[44:45]] => <note>Il existe surement d'autres méthodes. A compléter...</note> <|> a => suggestions : À
26 Typographie : points de suspension. Utilisez le caractère dédié. [[55:58]] => <note>Il existe surement d'autres méthodes. A compléter...</note> <|> ... => suggestions : …
27 Pas d’espace avant ce signe. [[66:68]] => Une fois un compte Dropbox créé (si possible avec un parrainage :) ), vous pouvez utiliser l'espace de stockage : <|>  ) => suggestions : )
29 Mot inconnu : offline [[96:103]] =>   * avec un dossier local qui est l'image de votre espace Dropbox (ça permet d'utiliser Dropbox offline) : <|> offline
37 Mot inconnu : ex3 [[107:110]] => Depuis 2018, Dropbox n'est plus compatible avec certains systèmes de fichiers. En particulier, les ext2 et ex3 ou les ext4 chiffrés ne sont plus pris en charge. En particulier les installations dans un /home chiffré ne fonctionnent plus. <|> ex3
