
6 Mot inconnu : Pingus => ====== Pingus (Clone de Lemmings) ====== | pingus

8 Mot inconnu : Pingus => Pingus est un jeu clone de Lemmings(TM).  | pingus
8 Espace(s) en fin de ligne à supprimer. => Pingus est un jeu clone de Lemmings(TM).  |   => suggestions : ['']

11 Guillemets typographiques ouvrants. => La première partie du jeu se déroule sur la "Tutorial Island", île glacée où l'on apprend les rudiments du jeu. Ensuite, on peu jouer sur les terrains fournis avec le jeu (Halloween), en rajouter et créer des terrains personnalisés grâce à l'éditeur. | " => suggestions : ['«\xa0', '“']
11 Mot inconnu : Tutorial => La première partie du jeu se déroule sur la "Tutorial Island", île glacée où l'on apprend les rudiments du jeu. Ensuite, on peu jouer sur les terrains fournis avec le jeu (Halloween), en rajouter et créer des terrains personnalisés grâce à l'éditeur. | tutorial
11 Guillemets typographiques fermants. => La première partie du jeu se déroule sur la "Tutorial Island", île glacée où l'on apprend les rudiments du jeu. Ensuite, on peu jouer sur les terrains fournis avec le jeu (Halloween), en rajouter et créer des terrains personnalisés grâce à l'éditeur. | " => suggestions : ['\xa0»', '”']
11 Confusion probable : “avoir” à la 3ᵉ personne du pluriel du présent s’écrit “ont”. => La première partie du jeu se déroule sur la "Tutorial Island", île glacée où l'on apprend les rudiments du jeu. Ensuite, on peu jouer sur les terrains fournis avec le jeu (Halloween), en rajouter et créer des terrains personnalisés grâce à l'éditeur. | on => suggestions : ['ont']
11 Confusion : « peu » signifie « pas beaucoup ». => La première partie du jeu se déroule sur la "Tutorial Island", île glacée où l'on apprend les rudiments du jeu. Ensuite, on peu jouer sur les terrains fournis avec le jeu (Halloween), en rajouter et créer des terrains personnalisés grâce à l'éditeur. | peu => suggestions : ['peut']

13 Mot inconnu : SDL => Ce jeu utilise la bibliothèque libre SDL.\\ | sdl

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://pingus.seul.org/|Site officiel]]. |    => suggestions : ['']
29 Il manque un espace. => //Contributeurs: [[utilisateurs:Fabien26]].// | fabien26 => suggestions : [' Fabien26']
