
5 Mot inconnu : DesktopCouch => ====== DesktopCouch ====== | desktopcouch

7 Mot inconnu : Desktop => Desktop Couch est une technologie introduite dans Ubuntu a partir de la version 9.10 "Karmic Koala". Elle a pour but de permettre l'accès a des bases de données CouchDB aux applications présentes dans Ubuntu. | desktop
7 Mot inconnu : Couch => Desktop Couch est une technologie introduite dans Ubuntu a partir de la version 9.10 "Karmic Koala". Elle a pour but de permettre l'accès a des bases de données CouchDB aux applications présentes dans Ubuntu. | couch
7 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Desktop Couch est une technologie introduite dans Ubuntu a partir de la version 9.10 "Karmic Koala". Elle a pour but de permettre l'accès a des bases de données CouchDB aux applications présentes dans Ubuntu. | a => suggestions : ['à']
7 Guillemets typographiques ouvrants. => Desktop Couch est une technologie introduite dans Ubuntu a partir de la version 9.10 "Karmic Koala". Elle a pour but de permettre l'accès a des bases de données CouchDB aux applications présentes dans Ubuntu. | " => suggestions : ['«\xa0', '“']
7 Mot inconnu : Karmic => Desktop Couch est une technologie introduite dans Ubuntu a partir de la version 9.10 "Karmic Koala". Elle a pour but de permettre l'accès a des bases de données CouchDB aux applications présentes dans Ubuntu. | karmic
7 Guillemets typographiques fermants. => Desktop Couch est une technologie introduite dans Ubuntu a partir de la version 9.10 "Karmic Koala". Elle a pour but de permettre l'accès a des bases de données CouchDB aux applications présentes dans Ubuntu. | " => suggestions : ['\xa0»', '”']
7 Mot inconnu : CouchDB => Desktop Couch est une technologie introduite dans Ubuntu a partir de la version 9.10 "Karmic Koala". Elle a pour but de permettre l'accès a des bases de données CouchDB aux applications présentes dans Ubuntu. | couchdb

9 Mot inconnu : CouchDB => ===== CouchDB ===== | couchdb

11 Mot inconnu : CouchDB => CouchDB est un serveur de base de données crée par la fondation Apache avec le langage Erlang. Cette base de donnée est orientée documents et est accesible via une API REST JSON/HTTP. Cette base de données ne possède ni schéma, ni tables et n'a pas pour but de se substituer aux bases de données relationnelles comme MySQL ou PostgreSQL. | couchdb
11 Mot inconnu : Erlang => CouchDB est un serveur de base de données crée par la fondation Apache avec le langage Erlang. Cette base de donnée est orientée documents et est accesible via une API REST JSON/HTTP. Cette base de données ne possède ni schéma, ni tables et n'a pas pour but de se substituer aux bases de données relationnelles comme MySQL ou PostgreSQL. | erlang
11 Mot inconnu : accesible => CouchDB est un serveur de base de données crée par la fondation Apache avec le langage Erlang. Cette base de donnée est orientée documents et est accesible via une API REST JSON/HTTP. Cette base de données ne possède ni schéma, ni tables et n'a pas pour but de se substituer aux bases de données relationnelles comme MySQL ou PostgreSQL. | accesible
11 Mot inconnu : REST => CouchDB est un serveur de base de données crée par la fondation Apache avec le langage Erlang. Cette base de donnée est orientée documents et est accesible via une API REST JSON/HTTP. Cette base de données ne possède ni schéma, ni tables et n'a pas pour but de se substituer aux bases de données relationnelles comme MySQL ou PostgreSQL. | rest
11 Mot inconnu : MySQL => CouchDB est un serveur de base de données crée par la fondation Apache avec le langage Erlang. Cette base de donnée est orientée documents et est accesible via une API REST JSON/HTTP. Cette base de données ne possède ni schéma, ni tables et n'a pas pour but de se substituer aux bases de données relationnelles comme MySQL ou PostgreSQL. | mysql
11 Mot inconnu : PostgreSQL => CouchDB est un serveur de base de données crée par la fondation Apache avec le langage Erlang. Cette base de donnée est orientée documents et est accesible via une API REST JSON/HTTP. Cette base de données ne possède ni schéma, ni tables et n'a pas pour but de se substituer aux bases de données relationnelles comme MySQL ou PostgreSQL. | postgresql

12 Mot inconnu : CouchDB => Les documents qui sont stockés dans CouchDB sont des objets JSON.  | couchdb
12 Espace(s) en fin de ligne à supprimer. => Les documents qui sont stockés dans CouchDB sont des objets JSON.  |   => suggestions : ['']

14 Mot inconnu : DesktopCouch => ===== Applications utilisant DesktopCouch ===== | desktopcouch

20 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => ===== Accéder a sa base de donnée ===== | a => suggestions : ['à']

22 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => Vous pouvez accéder a vos données DesktopCouch via une interface Web. Un raccourci vers celle ci est stocké dans ~/.local/share/desktop-couch/couchdb.html | a => suggestions : ['à']
22 Mot inconnu : DesktopCouch => Vous pouvez accéder a vos données DesktopCouch via une interface Web. Un raccourci vers celle ci est stocké dans ~/.local/share/desktop-couch/couchdb.html | desktopcouch
22 Il manque un trait d’union. => Vous pouvez accéder a vos données DesktopCouch via une interface Web. Un raccourci vers celle ci est stocké dans ~/.local/share/desktop-couch/couchdb.html | celle ci => suggestions : ['celle-ci']
22 Mot inconnu : share => Vous pouvez accéder a vos données DesktopCouch via une interface Web. Un raccourci vers celle ci est stocké dans ~/.local/share/desktop-couch/couchdb.html | share
22 Mot inconnu : desktop-couch => Vous pouvez accéder a vos données DesktopCouch via une interface Web. Un raccourci vers celle ci est stocké dans ~/.local/share/desktop-couch/couchdb.html | desktop-couch
22 Mot inconnu : couchdb => Vous pouvez accéder a vos données DesktopCouch via une interface Web. Un raccourci vers celle ci est stocké dans ~/.local/share/desktop-couch/couchdb.html | couchdb
22 Mot inconnu : html => Vous pouvez accéder a vos données DesktopCouch via une interface Web. Un raccourci vers celle ci est stocké dans ~/.local/share/desktop-couch/couchdb.html | html

27 Mot inconnu : DesktopCouch => Si la page en question ne s'affiche pas, voir plus bas le paragraphe Redémarrer DesktopCouch dans la résolution des problèmes. | desktopcouch

29 Mot inconnu : DesktopCouch => ===== Problèmes communs rencontrés avec DesktopCouch ===== | desktopcouch

31 Mot inconnu : DesktopCouch => ==== Redémarrer DesktopCouch ==== | desktopcouch

45 Mot inconnu : CouchDB => ==== CouchDB ==== | couchdb

54 Mot inconnu : DesktopCouch => ==== DesktopCouch ==== | desktopcouch
