
2 Mot inconnu : NetEmul => ====== NetEmul : Simulateur de réseau LAN gratuit ====== | netemul
2 Mot inconnu : LAN => ====== NetEmul : Simulateur de réseau LAN gratuit ====== | lan

3 Mot inconnu : NetEmul => NetEmul est un programme de simulation de réseaux d'ordinateurs. Il permet de créer, de configurer des réseaux et de vérifier sa disponibilité. | netemul

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * De constituer un réseau composé de stations de travail, de hubs, de switchs et de câbleset de l'Internet. |    => suggestions : ['']
7 Mot inconnu : switchs =>   * De constituer un réseau composé de stations de travail, de hubs, de switchs et de câbleset de l'Internet. | switchs
7 Mot inconnu : câbleset =>   * De constituer un réseau composé de stations de travail, de hubs, de switchs et de câbleset de l'Internet. | câbleset

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * De simuler l’envoi de trames au niveau Ethernet. |    => suggestions : ['']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * De simuler l’envoi de requêtes au niveau IP. |    => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://tec.ong-tn.org/article58/netemul-simulation-de-reseaux-d-ordinateurs-gratuit|Article en français avec plus de détail]] |    => suggestions : ['']
