
6 Espace(s) surnuméraire(s) à supprimer. [[19:21]] => ====== Ubuntu 14.10  (« The Utopic Unicorn ») ====== <|>    => suggestions : [' ']
6 Mot inconnu : The [[24:27]] => ====== Ubuntu 14.10  (« The Utopic Unicorn ») ====== <|> the
12 Mot inconnu : The [[34:37]] => **Ubuntu 14.10** (nom de code : //The **Utopic Unicorn**//) est la vingt et unième version d'Ubuntu. Son développement a débuté en avril 2014 et s'est échelonné sur une période de six mois. La version stable, finale d'Ubuntu 14.10 est sortie le 23 octobre 2014. La durée du cycle de maintenance était de neuf mois ; les mises à jour étaient donc assurées jusqu'au 23 juillet 2015. <|> the

16 Guillemets typographiques ouvrants. [[0:1]] => 'Utopic‘ est dérivé du mot ‘Utopia‘ qui décrit une société ou un projet qui tend a atteindre un grand idéal. Unicorn (licorne) est un animal de la mythologie généralement représenté comme un équidé avec une unique longue corne en spirale sur sa tête. Cela évoque un cycle de développement placé sous le signe de l'étonnement, les développeurs vont laisser parler leur créativité pour obtenir un système unifié et droit, "quelque chose dont nous pourrons être fiers". Il y aura donc une accélération du développement pour la convergence des plate-formes desktop et mobile avec Unity 8. <|> ' => suggestions : ['“', '‘', '‹']
16 Mot inconnu : Utopia [[28:34]] => 'Utopic‘ est dérivé du mot ‘Utopia‘ qui décrit une société ou un projet qui tend a atteindre un grand idéal. Unicorn (licorne) est un animal de la mythologie généralement représenté comme un équidé avec une unique longue corne en spirale sur sa tête. Cela évoque un cycle de développement placé sous le signe de l'étonnement, les développeurs vont laisser parler leur créativité pour obtenir un système unifié et droit, "quelque chose dont nous pourrons être fiers". Il y aura donc une accélération du développement pour la convergence des plate-formes desktop et mobile avec Unity 8. <|> utopia
16 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[81:82]] => 'Utopic‘ est dérivé du mot ‘Utopia‘ qui décrit une société ou un projet qui tend a atteindre un grand idéal. Unicorn (licorne) est un animal de la mythologie généralement représenté comme un équidé avec une unique longue corne en spirale sur sa tête. Cela évoque un cycle de développement placé sous le signe de l'étonnement, les développeurs vont laisser parler leur créativité pour obtenir un système unifié et droit, "quelque chose dont nous pourrons être fiers". Il y aura donc une accélération du développement pour la convergence des plate-formes desktop et mobile avec Unity 8. <|> a => suggestions : ['à']
16 Guillemets typographiques ouvrants. [[420:421]] => 'Utopic‘ est dérivé du mot ‘Utopia‘ qui décrit une société ou un projet qui tend a atteindre un grand idéal. Unicorn (licorne) est un animal de la mythologie généralement représenté comme un équidé avec une unique longue corne en spirale sur sa tête. Cela évoque un cycle de développement placé sous le signe de l'étonnement, les développeurs vont laisser parler leur créativité pour obtenir un système unifié et droit, "quelque chose dont nous pourrons être fiers". Il y aura donc une accélération du développement pour la convergence des plate-formes desktop et mobile avec Unity 8. <|> " => suggestions : ['«\xa0', '“']
16 Guillemets typographiques fermants. [[464:465]] => 'Utopic‘ est dérivé du mot ‘Utopia‘ qui décrit une société ou un projet qui tend a atteindre un grand idéal. Unicorn (licorne) est un animal de la mythologie généralement représenté comme un équidé avec une unique longue corne en spirale sur sa tête. Cela évoque un cycle de développement placé sous le signe de l'étonnement, les développeurs vont laisser parler leur créativité pour obtenir un système unifié et droit, "quelque chose dont nous pourrons être fiers". Il y aura donc une accélération du développement pour la convergence des plate-formes desktop et mobile avec Unity 8. <|> " => suggestions : ['\xa0»', '”']
16 Mot inconnu : desktop [[553:560]] => 'Utopic‘ est dérivé du mot ‘Utopia‘ qui décrit une société ou un projet qui tend a atteindre un grand idéal. Unicorn (licorne) est un animal de la mythologie généralement représenté comme un équidé avec une unique longue corne en spirale sur sa tête. Cela évoque un cycle de développement placé sous le signe de l'étonnement, les développeurs vont laisser parler leur créativité pour obtenir un système unifié et droit, "quelque chose dont nous pourrons être fiers". Il y aura donc une accélération du développement pour la convergence des plate-formes desktop et mobile avec Unity 8. <|> desktop

22 Mot inconnu : Online [[45:51]] => Les rencontres ayant eu lieu durant l'Ubuntu Online Summit (UOS), du 10 au 12 juin 2014, sont des événements majeurs du processus de développement d'une nouvelle version d'Ubuntu. C'est durant ces sessions, auxquelles assistent des ingénieurs de Canonical, des membres de la communauté, des partenaires, des vendeurs de logiciels indépendants, des membres d'équipes de développement en amont et d'autres participants, que sont discutés les grands axes de développement d'Ubuntu, dans un environnement tourné autour de discussions et de planification d'échéanciers. <|> online
22 Mot inconnu : Summit [[52:58]] => Les rencontres ayant eu lieu durant l'Ubuntu Online Summit (UOS), du 10 au 12 juin 2014, sont des événements majeurs du processus de développement d'une nouvelle version d'Ubuntu. C'est durant ces sessions, auxquelles assistent des ingénieurs de Canonical, des membres de la communauté, des partenaires, des vendeurs de logiciels indépendants, des membres d'équipes de développement en amont et d'autres participants, que sont discutés les grands axes de développement d'Ubuntu, dans un environnement tourné autour de discussions et de planification d'échéanciers. <|> summit
22 Mot inconnu : UOS [[60:63]] => Les rencontres ayant eu lieu durant l'Ubuntu Online Summit (UOS), du 10 au 12 juin 2014, sont des événements majeurs du processus de développement d'une nouvelle version d'Ubuntu. C'est durant ces sessions, auxquelles assistent des ingénieurs de Canonical, des membres de la communauté, des partenaires, des vendeurs de logiciels indépendants, des membres d'équipes de développement en amont et d'autres participants, que sont discutés les grands axes de développement d'Ubuntu, dans un environnement tourné autour de discussions et de planification d'échéanciers. <|> uos
37 Mot inconnu : LXQt [[72:76]] =>   * Nouvelle version de maintenance corrective, en attendant la version LXQt. <|> lxqt
39 Mot inconnu : icones [[34:40]] =>   * Mise à jour du graphisme (+ d'icones, mise à jour du thème, + de compatibilités).  <|> icones
39 Espace(s) en fin de ligne à supprimer. [[85:86]] =>   * Mise à jour du graphisme (+ d'icones, mise à jour du thème, + de compatibilités).  <|>   => suggestions : ['']
44 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[4:14]] =>   * gnome-maps et gnome-weather sont maintenant installés par défaut. Les programmes gnome-photos, gnome-music et polari sont disponibles pour installation dans les archives d'Ubuntu. <|> gnome-maps => suggestions : ['Gnome-maps']
44 Mot inconnu : gnome-maps [[4:14]] =>   * gnome-maps et gnome-weather sont maintenant installés par défaut. Les programmes gnome-photos, gnome-music et polari sont disponibles pour installation dans les archives d'Ubuntu. <|> gnome-maps
44 Mot inconnu : gnome-weather [[18:31]] =>   * gnome-maps et gnome-weather sont maintenant installés par défaut. Les programmes gnome-photos, gnome-music et polari sont disponibles pour installation dans les archives d'Ubuntu. <|> gnome-weather
44 Mot inconnu : gnome-music [[99:110]] =>   * gnome-maps et gnome-weather sont maintenant installés par défaut. Les programmes gnome-photos, gnome-music et polari sont disponibles pour installation dans les archives d'Ubuntu. <|> gnome-music
44 Mot inconnu : polari [[114:120]] =>   * gnome-maps et gnome-weather sont maintenant installés par défaut. Les programmes gnome-photos, gnome-music et polari sont disponibles pour installation dans les archives d'Ubuntu. <|> polari

47 Mot inconnu : UbuntuKylin [[5:16]] => ==== UbuntuKylin ==== <|> ubuntukylin
48 Mot inconnu : Kylin [[63:68]] =>   * Cette version inclut des mises à jour de logiciels: Ubuntu Kylin Software Center 1.1.3, Youker Assistant 1.3.1, Youker Weather 2.1.2, Youker Calendar 1.0.0, Youker Fcitx 1.0.0, Sogou IM 1.1.0, Kuaipan 2.0.0 et Wiznote 2.1.12 <|> kylin
48 Mot inconnu : Youker [[92:98]] =>   * Cette version inclut des mises à jour de logiciels: Ubuntu Kylin Software Center 1.1.3, Youker Assistant 1.3.1, Youker Weather 2.1.2, Youker Calendar 1.0.0, Youker Fcitx 1.0.0, Sogou IM 1.1.0, Kuaipan 2.0.0 et Wiznote 2.1.12 <|> youker
48 Mot inconnu : Youker [[116:122]] =>   * Cette version inclut des mises à jour de logiciels: Ubuntu Kylin Software Center 1.1.3, Youker Assistant 1.3.1, Youker Weather 2.1.2, Youker Calendar 1.0.0, Youker Fcitx 1.0.0, Sogou IM 1.1.0, Kuaipan 2.0.0 et Wiznote 2.1.12 <|> youker
48 Mot inconnu : Weather [[123:130]] =>   * Cette version inclut des mises à jour de logiciels: Ubuntu Kylin Software Center 1.1.3, Youker Assistant 1.3.1, Youker Weather 2.1.2, Youker Calendar 1.0.0, Youker Fcitx 1.0.0, Sogou IM 1.1.0, Kuaipan 2.0.0 et Wiznote 2.1.12 <|> weather
48 Mot inconnu : Youker [[138:144]] =>   * Cette version inclut des mises à jour de logiciels: Ubuntu Kylin Software Center 1.1.3, Youker Assistant 1.3.1, Youker Weather 2.1.2, Youker Calendar 1.0.0, Youker Fcitx 1.0.0, Sogou IM 1.1.0, Kuaipan 2.0.0 et Wiznote 2.1.12 <|> youker
48 Mot inconnu : Calendar [[145:153]] =>   * Cette version inclut des mises à jour de logiciels: Ubuntu Kylin Software Center 1.1.3, Youker Assistant 1.3.1, Youker Weather 2.1.2, Youker Calendar 1.0.0, Youker Fcitx 1.0.0, Sogou IM 1.1.0, Kuaipan 2.0.0 et Wiznote 2.1.12 <|> calendar
48 Mot inconnu : Youker [[161:167]] =>   * Cette version inclut des mises à jour de logiciels: Ubuntu Kylin Software Center 1.1.3, Youker Assistant 1.3.1, Youker Weather 2.1.2, Youker Calendar 1.0.0, Youker Fcitx 1.0.0, Sogou IM 1.1.0, Kuaipan 2.0.0 et Wiznote 2.1.12 <|> youker
48 Mot inconnu : Fcitx [[168:173]] =>   * Cette version inclut des mises à jour de logiciels: Ubuntu Kylin Software Center 1.1.3, Youker Assistant 1.3.1, Youker Weather 2.1.2, Youker Calendar 1.0.0, Youker Fcitx 1.0.0, Sogou IM 1.1.0, Kuaipan 2.0.0 et Wiznote 2.1.12 <|> fcitx
48 Mot inconnu : Sogou [[181:186]] =>   * Cette version inclut des mises à jour de logiciels: Ubuntu Kylin Software Center 1.1.3, Youker Assistant 1.3.1, Youker Weather 2.1.2, Youker Calendar 1.0.0, Youker Fcitx 1.0.0, Sogou IM 1.1.0, Kuaipan 2.0.0 et Wiznote 2.1.12 <|> sogou
