2 Mot inconnu : visual_basic => {{tag>programmation visual_basic BROUILLON}}

4 Mot inconnu : Visual => **Visual Basic** (//VB//)
4 Mot inconnu : VB => **Visual Basic** (//VB//)

6 Mot inconnu : Visual => Le langage Visual Basic (//ou VB//) est sorti en première version en 1991.
6 Mot inconnu : VB => Le langage Visual Basic (//ou VB//) est sorti en première version en 1991.

8 Mot inconnu : Visual => Utilisé avec le logiciel Visual Studio, permettant la création de logiciels ou applications, il s'agit d'un langage simple et facile à prendre en main (un petit peu d'Anglais et vous pourrez faire un petit navigateur Internet !).
8 Il manque un espace insécable. => Utilisé avec le logiciel Visual Studio, permettant la création de logiciels ou applications, il s'agit d'un langage simple et facile à prendre en main (un petit peu d'Anglais et vous pourrez faire un petit navigateur Internet !).

11 Mot inconnu : linux => =====Logiciels sous linux =====

13 Mot inconnu : linux => Créé par Microsoft, vous vous doutez bien que sous linux il est difficile d'utiliser des logiciels de la plateforme Windows. Mais il existe des alternatives qui permettent de faire fonctionner votre code VB sous linux :
13 Mot inconnu : VB => Créé par Microsoft, vous vous doutez bien que sous linux il est difficile d'utiliser des logiciels de la plateforme Windows. Mais il existe des alternatives qui permettent de faire fonctionner votre code VB sous linux :
13 Mot inconnu : linux => Créé par Microsoft, vous vous doutez bien que sous linux il est difficile d'utiliser des logiciels de la plateforme Windows. Mais il existe des alternatives qui permettent de faire fonctionner votre code VB sous linux :
13 Il manque un espace insécable. => Créé par Microsoft, vous vous doutez bien que sous linux il est difficile d'utiliser des logiciels de la plateforme Windows. Mais il existe des alternatives qui permettent de faire fonctionner votre code VB sous linux :

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[Gambas]] FIXME sur l'explication floue
15 Mot inconnu : FIXME =>   * [[Gambas]] FIXME sur l'explication floue

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[Mono]] est une alternative libre et gratuite qui supporte le langage Visual Basic. Celui-ci apportant une implémentation libre du Framework .NET de Microsoft. Le but de Mono est de simplifier la création d'applications compatibles avec Windows et Linux sans certaines complications de la librairie QT. Mono est un bon environnement de développement intégré (IDE) pour rendre du code Windows éxécutable sur un système Linux sans la nécessité de changer le code en entier. 
16 Mot inconnu : Visual =>   * [[Mono]] est une alternative libre et gratuite qui supporte le langage Visual Basic. Celui-ci apportant une implémentation libre du Framework .NET de Microsoft. Le but de Mono est de simplifier la création d'applications compatibles avec Windows et Linux sans certaines complications de la librairie QT. Mono est un bon environnement de développement intégré (IDE) pour rendre du code Windows éxécutable sur un système Linux sans la nécessité de changer le code en entier. 
16 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * [[Mono]] est une alternative libre et gratuite qui supporte le langage Visual Basic. Celui-ci apportant une implémentation libre du Framework .NET de Microsoft. Le but de Mono est de simplifier la création d'applications compatibles avec Windows et Linux sans certaines complications de la librairie QT. Mono est un bon environnement de développement intégré (IDE) pour rendre du code Windows éxécutable sur un système Linux sans la nécessité de changer le code en entier. 
16 Mot inconnu : QT =>   * [[Mono]] est une alternative libre et gratuite qui supporte le langage Visual Basic. Celui-ci apportant une implémentation libre du Framework .NET de Microsoft. Le but de Mono est de simplifier la création d'applications compatibles avec Windows et Linux sans certaines complications de la librairie QT. Mono est un bon environnement de développement intégré (IDE) pour rendre du code Windows éxécutable sur un système Linux sans la nécessité de changer le code en entier. 
16 Mot inconnu : éxécutable =>   * [[Mono]] est une alternative libre et gratuite qui supporte le langage Visual Basic. Celui-ci apportant une implémentation libre du Framework .NET de Microsoft. Le but de Mono est de simplifier la création d'applications compatibles avec Windows et Linux sans certaines complications de la librairie QT. Mono est un bon environnement de développement intégré (IDE) pour rendre du code Windows éxécutable sur un système Linux sans la nécessité de changer le code en entier. 
16 Espace(s) en fin de ligne à supprimer. =>   * [[Mono]] est une alternative libre et gratuite qui supporte le langage Visual Basic. Celui-ci apportant une implémentation libre du Framework .NET de Microsoft. Le but de Mono est de simplifier la création d'applications compatibles avec Windows et Linux sans certaines complications de la librairie QT. Mono est un bon environnement de développement intégré (IDE) pour rendre du code Windows éxécutable sur un système Linux sans la nécessité de changer le code en entier. 

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.realsoftware.com/download/|RealBasic]] est compatible linux mais c'est un logiciel freeware ( propriétaire ). FIXME sur l'explication floue. Désormais RealBasic est payant.
17 Mot inconnu : RealBasic =>   * [[http://www.realsoftware.com/download/|RealBasic]] est compatible linux mais c'est un logiciel freeware ( propriétaire ). FIXME sur l'explication floue. Désormais RealBasic est payant.
17 Mot inconnu : linux =>   * [[http://www.realsoftware.com/download/|RealBasic]] est compatible linux mais c'est un logiciel freeware ( propriétaire ). FIXME sur l'explication floue. Désormais RealBasic est payant.
17 Mot inconnu : freeware =>   * [[http://www.realsoftware.com/download/|RealBasic]] est compatible linux mais c'est un logiciel freeware ( propriétaire ). FIXME sur l'explication floue. Désormais RealBasic est payant.
17 Pas d’espace après ce signe. =>   * [[http://www.realsoftware.com/download/|RealBasic]] est compatible linux mais c'est un logiciel freeware ( propriétaire ). FIXME sur l'explication floue. Désormais RealBasic est payant.
17 Pas d’espace avant ce signe. =>   * [[http://www.realsoftware.com/download/|RealBasic]] est compatible linux mais c'est un logiciel freeware ( propriétaire ). FIXME sur l'explication floue. Désormais RealBasic est payant.
17 Mot inconnu : FIXME =>   * [[http://www.realsoftware.com/download/|RealBasic]] est compatible linux mais c'est un logiciel freeware ( propriétaire ). FIXME sur l'explication floue. Désormais RealBasic est payant.
17 Mot inconnu : RealBasic =>   * [[http://www.realsoftware.com/download/|RealBasic]] est compatible linux mais c'est un logiciel freeware ( propriétaire ). FIXME sur l'explication floue. Désormais RealBasic est payant.
