1 Mot inconnu : zobi8225 [[7:15]] => ====== zobi8225 ====== <|> zobi8225

3 Mot inconnu : Yop [[0:3]] => Yop  <|> yop
3 Espace(s) en fin de ligne à supprimer. [[3:4]] => Yop  <|>   => suggestions : ['']

4 Accord de genre erroné avec « bricolé ». [[7:15]] => J'ai 3 machines bricolé sous ubuntu. <|> machines => suggestions : ['machinés']
4 Accord de genre erroné entre « machines » et « bricolé ». [[16:23]] => J'ai 3 machines bricolé sous ubuntu. <|> bricolé => suggestions : ['bricolées']

5 Mot inconnu : epitech [[35:42]] => Je suis étudiant en informatique à epitech. <|> epitech

7 Pas d’espace avant une virgule. [[19:21]] => Je code en PHP /SQL , C.. <|>  , => suggestions : [',']
7 Typographie : un ou trois points ? [[23:25]] => Je code en PHP /SQL , C.. <|> .. => suggestions : ['…', '.']
9 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. [[19:20]] => Contacte : t h o m a s [at] l u q u e t . n e t <|> a => suggestions : ['à']
9 Mot inconnu : at [[24:26]] => Contacte : t h o m a s [at] l u q u e t . n e t <|> at
9 Pas d’espace avant un point. [[39:41]] => Contacte : t h o m a s [at] l u q u e t . n e t <|>  . => suggestions : ['.']

11 Accord de nombre erroné : « WIKI » devrait être au pluriel. [[22:26]] => Pensez à utiliser les WIKI et les forums avant de me mailer SVP. <|> wiki => suggestions : ['WIKIS']
11 Mot inconnu : mailer [[53:59]] => Pensez à utiliser les WIKI et les forums avant de me mailer SVP. <|> mailer
11 Mot inconnu : SVP [[60:63]] => Pensez à utiliser les WIKI et les forums avant de me mailer SVP. <|> svp
