1 Mot inconnu : yosch => yosch, contributeur et futur mainteneur | yosch

3 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * créateur de paquets .deb |    => suggestions : ['']
3 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * créateur de paquets .deb |  . => suggestions : ['. ', '.']
3 Mot inconnu : deb =>   * créateur de paquets .deb | deb

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * co-auteur de l'OFL (Open Font License) |    => suggestions : ['']
4 Mot inconnu : OFL =>   * co-auteur de l'OFL (Open Font License) | ofl
4 Mot inconnu : License =>   * co-auteur de l'OFL (Open Font License) | license

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * chercheur en infolinguistique |    => suggestions : ['']
5 Mot inconnu : infolinguistique =>   * chercheur en infolinguistique | infolinguistique

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * auteur d'un liveCD personalisé basé sur Breezy baptisé "Complex Scripts - live!" pour étendre les capacités linguistiques d'une distribution GNU/Linux dans le domaine des langues à scripts complexes. J'en ai fait la démo à Mark Shuttleworth et à son équipe à Tunis lors du SMSI (Somment Mondial sur la Société de l'Information). |    => suggestions : ['']
6 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * auteur d'un liveCD personalisé basé sur Breezy baptisé "Complex Scripts - live!" pour étendre les capacités linguistiques d'une distribution GNU/Linux dans le domaine des langues à scripts complexes. J'en ai fait la démo à Mark Shuttleworth et à son équipe à Tunis lors du SMSI (Somment Mondial sur la Société de l'Information). | auteur => suggestions : ['Auteur']
6 Mot inconnu : liveCD =>   * auteur d'un liveCD personalisé basé sur Breezy baptisé "Complex Scripts - live!" pour étendre les capacités linguistiques d'une distribution GNU/Linux dans le domaine des langues à scripts complexes. J'en ai fait la démo à Mark Shuttleworth et à son équipe à Tunis lors du SMSI (Somment Mondial sur la Société de l'Information). | livecd
6 Mot inconnu : personalisé =>   * auteur d'un liveCD personalisé basé sur Breezy baptisé "Complex Scripts - live!" pour étendre les capacités linguistiques d'une distribution GNU/Linux dans le domaine des langues à scripts complexes. J'en ai fait la démo à Mark Shuttleworth et à son équipe à Tunis lors du SMSI (Somment Mondial sur la Société de l'Information). | personalisé
6 Mot inconnu : Breezy =>   * auteur d'un liveCD personalisé basé sur Breezy baptisé "Complex Scripts - live!" pour étendre les capacités linguistiques d'une distribution GNU/Linux dans le domaine des langues à scripts complexes. J'en ai fait la démo à Mark Shuttleworth et à son équipe à Tunis lors du SMSI (Somment Mondial sur la Société de l'Information). | breezy
6 Guillemets typographiques ouvrants. =>   * auteur d'un liveCD personalisé basé sur Breezy baptisé "Complex Scripts - live!" pour étendre les capacités linguistiques d'une distribution GNU/Linux dans le domaine des langues à scripts complexes. J'en ai fait la démo à Mark Shuttleworth et à son équipe à Tunis lors du SMSI (Somment Mondial sur la Société de l'Information). | " => suggestions : ['«\xa0', '“']
6 Mot inconnu : Complex =>   * auteur d'un liveCD personalisé basé sur Breezy baptisé "Complex Scripts - live!" pour étendre les capacités linguistiques d'une distribution GNU/Linux dans le domaine des langues à scripts complexes. J'en ai fait la démo à Mark Shuttleworth et à son équipe à Tunis lors du SMSI (Somment Mondial sur la Société de l'Information). | complex
6 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * auteur d'un liveCD personalisé basé sur Breezy baptisé "Complex Scripts - live!" pour étendre les capacités linguistiques d'une distribution GNU/Linux dans le domaine des langues à scripts complexes. J'en ai fait la démo à Mark Shuttleworth et à son équipe à Tunis lors du SMSI (Somment Mondial sur la Société de l'Information). |  -  => suggestions : [' – ', ' — ', ' − ']
6 Guillemets typographiques fermants. =>   * auteur d'un liveCD personalisé basé sur Breezy baptisé "Complex Scripts - live!" pour étendre les capacités linguistiques d'une distribution GNU/Linux dans le domaine des langues à scripts complexes. J'en ai fait la démo à Mark Shuttleworth et à son équipe à Tunis lors du SMSI (Somment Mondial sur la Société de l'Information). | " => suggestions : ['\xa0»', '”']
6 Mot inconnu : SMSI =>   * auteur d'un liveCD personalisé basé sur Breezy baptisé "Complex Scripts - live!" pour étendre les capacités linguistiques d'une distribution GNU/Linux dans le domaine des langues à scripts complexes. J'en ai fait la démo à Mark Shuttleworth et à son équipe à Tunis lors du SMSI (Somment Mondial sur la Société de l'Information). | smsi
