3 Mot inconnu : IRC => \\ Lieu: salon IRC #ubuntu-fr-meeting \\  | irc
3 Espace(s) en fin de ligne à supprimer. => \\ Lieu: salon IRC #ubuntu-fr-meeting \\  |   => suggestions : ['']
4 Espace(s) en fin de ligne à supprimer. => Heure : 19h\\  |   => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Rappel de ce qui a changé depuis la dernière réunion (début avril) |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Point sur l'état des serveurs à la veille de la release, identification des points bloquants, prise de décision pour débloquer |    => suggestions : ['']
14 Mot inconnu : release =>   * Point sur l'état des serveurs à la veille de la release, identification des points bloquants, prise de décision pour débloquer | release

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * passage en revue de tous les services pour relever des points de vigilance et décisions à prendre |      => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * fonctionnement des backups |      => suggestions : ['']
16 Mot inconnu : backups =>     * fonctionnement des backups | backups

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * procédure de maintenance (prévoir des solutions temporaires en cas de panne) |      => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Récap des décisions prises durant le point précédent |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Discussions, idées et désirs des participants. |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Estimation de date pour la prochaine réunion (mai) |    => suggestions : ['']
