3 Mot inconnu : IRC => \\ Lieu: salon IRC [[irc://irc.freenode.net/ubuntu-fr-meeting|#ubuntu-fr-meeting]] ([[http://webchat.freenode.net/?channels=ubuntu-fr-meeting|webchat]])\\  | irc
3 Mot inconnu : irc => \\ Lieu: salon IRC [[irc://irc.freenode.net/ubuntu-fr-meeting|#ubuntu-fr-meeting]] ([[http://webchat.freenode.net/?channels=ubuntu-fr-meeting|webchat]])\\  | irc
3 Espace(s) en fin de ligne à supprimer. => \\ Lieu: salon IRC [[irc://irc.freenode.net/ubuntu-fr-meeting|#ubuntu-fr-meeting]] ([[http://webchat.freenode.net/?channels=ubuntu-fr-meeting|webchat]])\\  |   => suggestions : ['']
4 Espace(s) en fin de ligne à supprimer. => Heure : 21h\\  |   => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Événements passés depuis la dernière réunion |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Pauses ubuntu sur Paris |      => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Premier Samedi du libre sur Paris |      => suggestions : ['']
15 Pas de majuscule sur les jours de la semaine. =>     * Premier Samedi du libre sur Paris | samedi => suggestions : ['samedi']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Releases et Ubuntu Party |      => suggestions : ['']
16 Mot inconnu : Releases =>     * Releases et Ubuntu Party | releases
16 Mot inconnu : Party =>     * Releases et Ubuntu Party | party

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Papillons de nuit |      => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Solution Linux |      => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * … |      => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Événements à venir |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Piques niques / Pauses Ubuntu |      => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Vieilles Charrues |      => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Re-approval (bilan de nos activités auprès du LoCo Council pour conserver notre statut d'équipe officielle) |      => suggestions : ['']
23 Mot inconnu : Re-approval =>     * Re-approval (bilan de nos activités auprès du LoCo Council pour conserver notre statut d'équipe officielle) | re-approval
23 Accord de genre erroné : « LoCo » est féminin. =>     * Re-approval (bilan de nos activités auprès du LoCo Council pour conserver notre statut d'équipe officielle) | du => suggestions : ['de la']
23 Mot inconnu : LoCo =>     * Re-approval (bilan de nos activités auprès du LoCo Council pour conserver notre statut d'équipe officielle) | loco
23 Mot inconnu : Council =>     * Re-approval (bilan de nos activités auprès du LoCo Council pour conserver notre statut d'équipe officielle) | council

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * … |      => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Points divers |    => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Communication Ubuntu-fr : Faut-il centraliser la comm' d'Ubuntu-fr en créant une équipe dédiée en charge de la comm' des différents événements et/ou de l'actualité francophone Ubuntu, ou chaque projet doit-il gérer sa propre comm' ? (Winael) |      => suggestions : ['']
26 Mot inconnu : comm =>     * Communication Ubuntu-fr : Faut-il centraliser la comm' d'Ubuntu-fr en créant une équipe dédiée en charge de la comm' des différents événements et/ou de l'actualité francophone Ubuntu, ou chaque projet doit-il gérer sa propre comm' ? (Winael) | comm
26 Guillemets typographiques fermants. =>     * Communication Ubuntu-fr : Faut-il centraliser la comm' d'Ubuntu-fr en créant une équipe dédiée en charge de la comm' des différents événements et/ou de l'actualité francophone Ubuntu, ou chaque projet doit-il gérer sa propre comm' ? (Winael) | ' => suggestions : ['”', '’', '›']
26 Mot inconnu : comm =>     * Communication Ubuntu-fr : Faut-il centraliser la comm' d'Ubuntu-fr en créant une équipe dédiée en charge de la comm' des différents événements et/ou de l'actualité francophone Ubuntu, ou chaque projet doit-il gérer sa propre comm' ? (Winael) | comm
26 Guillemets typographiques fermants. =>     * Communication Ubuntu-fr : Faut-il centraliser la comm' d'Ubuntu-fr en créant une équipe dédiée en charge de la comm' des différents événements et/ou de l'actualité francophone Ubuntu, ou chaque projet doit-il gérer sa propre comm' ? (Winael) | ' => suggestions : ['”', '’', '›']
26 Mot inconnu : comm =>     * Communication Ubuntu-fr : Faut-il centraliser la comm' d'Ubuntu-fr en créant une équipe dédiée en charge de la comm' des différents événements et/ou de l'actualité francophone Ubuntu, ou chaque projet doit-il gérer sa propre comm' ? (Winael) | comm
26 Guillemets typographiques fermants. =>     * Communication Ubuntu-fr : Faut-il centraliser la comm' d'Ubuntu-fr en créant une équipe dédiée en charge de la comm' des différents événements et/ou de l'actualité francophone Ubuntu, ou chaque projet doit-il gérer sa propre comm' ? (Winael) | ' => suggestions : ['”', '’', '›']
26 Mot inconnu : Winael =>     * Communication Ubuntu-fr : Faut-il centraliser la comm' d'Ubuntu-fr en créant une équipe dédiée en charge de la comm' des différents événements et/ou de l'actualité francophone Ubuntu, ou chaque projet doit-il gérer sa propre comm' ? (Winael) | winael

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * J'ai lu que les versions officielles d'Ubuntu ne seraient plus sur CD-ROM mais sur DVD ou clé. Si c'est confirmé, cela signifie-t-il que nous allons éditer des "DVD francophones" à la place de CD pour la prochaine release ? Dans ce cas je suppose qu'il restera de l'espace sur le support, qu'il faudra utiliser intelligemment. Insérer des conférences de la dernière party ? Fournir des images ou de la documentation franco-française ? Mettre plus d'applis par défaut ? Je ne pourrai pas être à la réunion mais j'aimerais savoir. (FUN) - Cela sort du cadre de cette réunion, mais la 12.10 risque d'avoir un ISO de 800Mo, donc je te laisse en conclure ce qu'on devra faire… J'attends confirmation pour ce qui est de ce que va fournir Canonical (live DVD, live USB ou rien). --YoBoY-- |      => suggestions : ['']
27 Guillemets typographiques ouvrants. =>     * J'ai lu que les versions officielles d'Ubuntu ne seraient plus sur CD-ROM mais sur DVD ou clé. Si c'est confirmé, cela signifie-t-il que nous allons éditer des "DVD francophones" à la place de CD pour la prochaine release ? Dans ce cas je suppose qu'il restera de l'espace sur le support, qu'il faudra utiliser intelligemment. Insérer des conférences de la dernière party ? Fournir des images ou de la documentation franco-française ? Mettre plus d'applis par défaut ? Je ne pourrai pas être à la réunion mais j'aimerais savoir. (FUN) - Cela sort du cadre de cette réunion, mais la 12.10 risque d'avoir un ISO de 800Mo, donc je te laisse en conclure ce qu'on devra faire… J'attends confirmation pour ce qui est de ce que va fournir Canonical (live DVD, live USB ou rien). --YoBoY-- | " => suggestions : ['«\xa0', '“']
27 Guillemets typographiques fermants. =>     * J'ai lu que les versions officielles d'Ubuntu ne seraient plus sur CD-ROM mais sur DVD ou clé. Si c'est confirmé, cela signifie-t-il que nous allons éditer des "DVD francophones" à la place de CD pour la prochaine release ? Dans ce cas je suppose qu'il restera de l'espace sur le support, qu'il faudra utiliser intelligemment. Insérer des conférences de la dernière party ? Fournir des images ou de la documentation franco-française ? Mettre plus d'applis par défaut ? Je ne pourrai pas être à la réunion mais j'aimerais savoir. (FUN) - Cela sort du cadre de cette réunion, mais la 12.10 risque d'avoir un ISO de 800Mo, donc je te laisse en conclure ce qu'on devra faire… J'attends confirmation pour ce qui est de ce que va fournir Canonical (live DVD, live USB ou rien). --YoBoY-- | " => suggestions : ['\xa0»', '”']
27 Mot inconnu : release =>     * J'ai lu que les versions officielles d'Ubuntu ne seraient plus sur CD-ROM mais sur DVD ou clé. Si c'est confirmé, cela signifie-t-il que nous allons éditer des "DVD francophones" à la place de CD pour la prochaine release ? Dans ce cas je suppose qu'il restera de l'espace sur le support, qu'il faudra utiliser intelligemment. Insérer des conférences de la dernière party ? Fournir des images ou de la documentation franco-française ? Mettre plus d'applis par défaut ? Je ne pourrai pas être à la réunion mais j'aimerais savoir. (FUN) - Cela sort du cadre de cette réunion, mais la 12.10 risque d'avoir un ISO de 800Mo, donc je te laisse en conclure ce qu'on devra faire… J'attends confirmation pour ce qui est de ce que va fournir Canonical (live DVD, live USB ou rien). --YoBoY-- | release
27 Mot inconnu : party =>     * J'ai lu que les versions officielles d'Ubuntu ne seraient plus sur CD-ROM mais sur DVD ou clé. Si c'est confirmé, cela signifie-t-il que nous allons éditer des "DVD francophones" à la place de CD pour la prochaine release ? Dans ce cas je suppose qu'il restera de l'espace sur le support, qu'il faudra utiliser intelligemment. Insérer des conférences de la dernière party ? Fournir des images ou de la documentation franco-française ? Mettre plus d'applis par défaut ? Je ne pourrai pas être à la réunion mais j'aimerais savoir. (FUN) - Cela sort du cadre de cette réunion, mais la 12.10 risque d'avoir un ISO de 800Mo, donc je te laisse en conclure ce qu'on devra faire… J'attends confirmation pour ce qui est de ce que va fournir Canonical (live DVD, live USB ou rien). --YoBoY-- | party
27 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * J'ai lu que les versions officielles d'Ubuntu ne seraient plus sur CD-ROM mais sur DVD ou clé. Si c'est confirmé, cela signifie-t-il que nous allons éditer des "DVD francophones" à la place de CD pour la prochaine release ? Dans ce cas je suppose qu'il restera de l'espace sur le support, qu'il faudra utiliser intelligemment. Insérer des conférences de la dernière party ? Fournir des images ou de la documentation franco-française ? Mettre plus d'applis par défaut ? Je ne pourrai pas être à la réunion mais j'aimerais savoir. (FUN) - Cela sort du cadre de cette réunion, mais la 12.10 risque d'avoir un ISO de 800Mo, donc je te laisse en conclure ce qu'on devra faire… J'attends confirmation pour ce qui est de ce que va fournir Canonical (live DVD, live USB ou rien). --YoBoY-- |  -  => suggestions : [' – ', ' — ', ' − ']
27 Mot inconnu : Canonical =>     * J'ai lu que les versions officielles d'Ubuntu ne seraient plus sur CD-ROM mais sur DVD ou clé. Si c'est confirmé, cela signifie-t-il que nous allons éditer des "DVD francophones" à la place de CD pour la prochaine release ? Dans ce cas je suppose qu'il restera de l'espace sur le support, qu'il faudra utiliser intelligemment. Insérer des conférences de la dernière party ? Fournir des images ou de la documentation franco-française ? Mettre plus d'applis par défaut ? Je ne pourrai pas être à la réunion mais j'aimerais savoir. (FUN) - Cela sort du cadre de cette réunion, mais la 12.10 risque d'avoir un ISO de 800Mo, donc je te laisse en conclure ce qu'on devra faire… J'attends confirmation pour ce qui est de ce que va fournir Canonical (live DVD, live USB ou rien). --YoBoY-- | canonical
27 Mot inconnu : YoBoY =>     * J'ai lu que les versions officielles d'Ubuntu ne seraient plus sur CD-ROM mais sur DVD ou clé. Si c'est confirmé, cela signifie-t-il que nous allons éditer des "DVD francophones" à la place de CD pour la prochaine release ? Dans ce cas je suppose qu'il restera de l'espace sur le support, qu'il faudra utiliser intelligemment. Insérer des conférences de la dernière party ? Fournir des images ou de la documentation franco-française ? Mettre plus d'applis par défaut ? Je ne pourrai pas être à la réunion mais j'aimerais savoir. (FUN) - Cela sort du cadre de cette réunion, mais la 12.10 risque d'avoir un ISO de 800Mo, donc je te laisse en conclure ce qu'on devra faire… J'attends confirmation pour ce qui est de ce que va fournir Canonical (live DVD, live USB ou rien). --YoBoY-- | yoboy

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * … |      => suggestions : ['']
