1 Mot inconnu : IRC => ====== Meeting IRC du 11/03/2009 : Nouveau design ======= | irc

3 Mot inconnu : mockups => ===== Critiques sur les derniers mockups ===== | mockups

7 Mot inconnu : IE6 => ==== Décision IE6 ==== | ie6

8 Mot inconnu : IE6 => Pas de développement dans l'immédiat pour IE6 | ie6

14 Mot inconnu : Frezze => ==== Frezze des mockups ==== | frezze
14 Mot inconnu : mockups => ==== Frezze des mockups ==== | mockups

15 Mot inconnu : freeze => Le freeze de la page d'accueil approche (12/03). Les dernières remarques devraient permettre de satisfaire la timeline. Le freeze du forum et de la doc sont prévus le 2/04. Pour la doc, il y a | freeze
15 Mot inconnu : timeline => Le freeze de la page d'accueil approche (12/03). Les dernières remarques devraient permettre de satisfaire la timeline. Le freeze du forum et de la doc sont prévus le 2/04. Pour la doc, il y a | timeline
15 Mot inconnu : freeze => Le freeze de la page d'accueil approche (12/03). Les dernières remarques devraient permettre de satisfaire la timeline. Le freeze du forum et de la doc sont prévus le 2/04. Pour la doc, il y a | freeze

16 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => de nombreux artefacts graphiques, qui engendreront autant de discussions. Pour tenter de respecter le planning proposé :  | de => suggestions : ['De']
16 Espace(s) en fin de ligne à supprimer. => de nombreux artefacts graphiques, qui engendreront autant de discussions. Pour tenter de respecter le planning proposé :  |   => suggestions : ['']

20 Mot inconnu : NB => **NB** : Un accord a été donné sur la ML par tous les contributeurs pour un placement du thème sous double licence CC BY-SA et Art Libre | nb
20 Accord de genre erroné : « ML » est masculin. => **NB** : Un accord a été donné sur la ML par tous les contributeurs pour un placement du thème sous double licence CC BY-SA et Art Libre | la => suggestions : ['le']
20 Mot inconnu : BY-SA => **NB** : Un accord a été donné sur la ML par tous les contributeurs pour un placement du thème sous double licence CC BY-SA et Art Libre | by-sa
